epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,0.6818450093269348,,
0,99,,0.5710190534591675,,
0,149,,0.6488112807273865,,
0,199,,0.5886139273643494,,
0,249,,0.3689631223678589,,
0,299,,0.3896140456199646,,
0,349,,0.46342507004737854,,
0,399,,0.5112957954406738,,
0,449,,0.49567440152168274,,
0,499,,0.30054351687431335,,
0,549,,0.19482287764549255,,
,0,,,,0.37001726031303406
,1,,,,0.42745253443717957
,2,,,,0.38678839802742004
,3,,,,0.3024999797344208
,4,,,,0.37892282009124756
,5,,,,0.3551931083202362
,6,,,,0.33611157536506653
,7,,,,0.47932618856430054
,8,,,,0.43769070506095886
,9,,,,0.4820789694786072
,10,,,,0.20581549406051636
,11,,,,0.3733464479446411
,12,,,,0.44522830843925476
,13,,,,0.419465571641922
,14,,,,0.3075289726257324
,15,,,,0.18680691719055176
,16,,,,0.43939390778541565
,17,,,,0.2243918776512146
,18,,,,0.2292671650648117
,19,,,,0.2028898149728775
,20,,,,0.5913872122764587
,21,,,,0.3896912634372711
,22,,,,0.5573804974555969
,23,,,,0.3905666470527649
,24,,,,0.2121979147195816
,25,,,,0.2390323281288147
,26,,,,0.22765123844146729
,27,,,,0.18875324726104736
,28,,,,0.2613622844219208
,29,,,,0.3099551796913147
,30,,,,0.23499450087547302
,31,,,,0.4146918058395386
,32,,,,0.28203633427619934
,33,,,,0.37940219044685364
,34,,,,0.30545228719711304
,35,,,,0.2733080983161926
,36,,,,0.1855754256248474
,37,,,,0.5430008172988892
,38,,,,0.4452713131904602
,39,,,,0.11247128993272781
,40,,,,0.2109183818101883
,41,,,,0.26561784744262695
,42,,,,0.21287791430950165
,43,,,,0.2792731523513794
,44,,,,0.4616609513759613
,45,,,,0.49745526909828186
,46,,,,0.31032484769821167
,47,,,,0.34253305196762085
,48,,,,0.4926989674568176
,49,,,,0.4528655409812927
,50,,,,0.5340283513069153
,51,,,,0.35699662566185
,52,,,,0.34117451310157776
,53,,,,0.7465397119522095
,54,,,,0.3734407424926758
,55,,,,0.28554588556289673
,56,,,,0.20743408799171448
,57,,,,0.32441195845603943
,58,,,,0.3319244682788849
,59,,,,0.2781311571598053
,60,,,,0.38833239674568176
,61,,,,0.4470551609992981
,62,,,,0.37625637650489807
,63,,,,0.5997019410133362
,64,,,,0.39664143323898315
,65,,,,0.4162746071815491
,66,,,,0.5880164504051208
,67,,,,0.21490173041820526
,68,,,,0.17708319425582886
,69,,,,0.35766035318374634
,70,,,,0.3965175747871399
,71,,,,0.3288235068321228
,72,,,,0.3776208460330963
,73,,,,0.510728657245636
,74,,,,0.4984445571899414
,75,,,,0.3688187897205353
,76,,,,0.3821221590042114
,77,,,,0.6235954761505127
,78,,,,0.32807010412216187
,79,,,,0.5564411282539368
,80,,,,0.2890416085720062
,81,,,,0.2633707821369171
,82,,,,0.21852415800094604
,83,,,,0.2923389971256256
,84,,,,0.36453908681869507
,85,,,,0.21430604159832
,86,,,,0.21254785358905792
,87,,,,0.37478873133659363
,88,,,,0.2830524146556854
,89,,,,0.3775842487812042
,90,,,,0.30462023615837097
,91,,,,0.4009111821651459
,92,,,,0.3090858459472656
,93,,,,0.3987126648426056
,94,,,,0.38261035084724426
,95,,,,0.6820785999298096
,96,,,,0.27851808071136475
,97,,,,0.579389214515686
,98,,,,0.32881414890289307
,99,,,,0.46123653650283813
,100,,,,0.5580285787582397
,101,,,,0.36332640051841736
,102,,,,0.3919008672237396
,103,,,,0.207551509141922
,104,,,,0.37570813298225403
,105,,,,0.34603163599967957
,106,,,,0.5888877511024475
,107,,,,0.4098382592201233
,108,,,,0.3981121778488159
,109,,,,0.24766802787780762
,110,,,,0.38256609439849854
,111,,,,0.43872618675231934
,112,,,,0.3612675666809082
,113,,,,0.39456939697265625
,114,,,,0.39607009291648865
,115,,,,0.19257545471191406
,116,,,,0.25513961911201477
,117,,,,0.4826231896877289
,118,,,,0.67713862657547
,119,,,,0.47438597679138184
,120,,,,0.5256960988044739
,121,,,,0.3654935657978058
,122,,,,0.21993868052959442
,123,,,,0.39121320843696594
,124,,,,0.3633791208267212
,125,,,,0.3423328399658203
,126,,,,0.3540145754814148
,127,,,,0.47502848505973816
,128,,,,0.4595302641391754
,129,,,,0.30948302149772644
,130,,,,0.32680296897888184
,131,,,,0.21291229128837585
,132,,,,0.38587242364883423
,133,,,,0.30403605103492737
,134,,,,0.3988282084465027
,135,,,,0.15572990477085114
,136,,,,0.3422635793685913
,137,,,,0.2393655627965927
,138,,,,0.2689269185066223
,139,,,,0.29770731925964355
,140,,,,0.2971830368041992
,141,,,,0.15677106380462646
,142,,,,0.27443727850914
,143,,,,0.40726783871650696
,144,,,,0.3622443675994873
,145,,,,0.4323174059391022
